25-02-22.15:57:28.625 [main            ] ERROR ActivityRepository     - 写入订单记录，唯一索引冲突 userId: xxx activityId: 100301 sku: 9011
25-02-22.22:27:25.023 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:27:25.026 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:27:25.030 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:27:25.035 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:27:25.039 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:27:25.043 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:27:25.046 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:27:25.049 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:27:25.051 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:27:25.054 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:27:25.056 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:27:25.161 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:27:25.165 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.285 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.291 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.298 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.307 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.313 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.320 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.324 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.329 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.333 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.337 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.342 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.346 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.353 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.357 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.361 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.365 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.371 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.376 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.381 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:48.385 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.182 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.186 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.190 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.194 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.198 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.202 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.205 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.209 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.213 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.216 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.220 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.223 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.226 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.230 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.232 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.236 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.238 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.241 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.243 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:28:49.245 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.499 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.503 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.507 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.510 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.513 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.517 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.520 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.524 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.527 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.531 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.534 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.539 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.543 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.545 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.551 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.554 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.558 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.561 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.564 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:28.567 [main            ] WARN  RaffleOrderTest        - 活动库存不足
